Class_of_Travel,Flight_Count,Total_Emissions,Total_Distance,Emissions_per_km
Economy,15679,24946635.45128791,11973950.14,2.0834089969985383
Business,1084,8448137.132599654,4736569.52,1.783598255431001
Premium Economy,582,2738733.762472045,1372020.99,1.9961310959769247
First,12,49196.30746351568,13644.24,3.6056465925193106
Class of Travel,1,0.0,0.0,0.0
