Route,Flight_Count,Total_Emissions,Average_Distance,Emissions_per_Flight
AMS/DOH/MEL/DOH/AMS,2,7583.779875426171,1234.5,3791.8899377130856
AMS/DOH/MEL_BNE/DOH/AMS,1,7667.682447247768,2692.0,7667.682447247768
AMS/DXB/DAC/DXB/MEL/DXB/AMS,1,9251.705139396869,2875.0,9251.705139396869
AMS/DXB/MEL,2,3829.8630844426875,866.0,1914.9315422213438
AMS/DXB/MEL/DXB/AMS,3,22871.407099747354,2684.6666666666665,7623.802366582451
AMS/DXB/MEL/DXB/DAC/DXB/AMS,1,0.0,93.0,0.0
AMS/FCO,1,267.3695204327058,240.0,267.3695204327058
AMS/FLR,1,325.69517749978786,369.0,325.69517749978786
AMS/FRA/PSA,1,223.08334523124404,121.0,223.08334523124404
AMS/GVA,1,140.12939018969996,192.0,140.12939018969996
AMS/GVA/AMS,1,279.5977926898259,240.0,279.5977926898259
AMS/HKG/MEL,1,3751.385247868177,2261.0,3751.385247868177
AMS/IST/GYD/IST/ARN,1,1793.055823670146,2397.0,1793.055823670146
AMS/IST/LHE/IST/DUB,1,3040.3832814834445,681.0,3040.3832814834445
AMS/JFK/AMS,1,2632.0815418861075,821.0,2632.0815418861075
AMS/LCY/AMS,1,143.43432863757025,131.0,143.43432863757025
AMS/LHR,1,106.89047581498502,106.0,106.89047581498502
AMS/LIS,2,759.4748553205908,383.0,379.7374276602954
AMS/POZ/AMS,1,337.10372168276876,254.0,337.10372168276876
AMS/SIN/MEL,1,3719.560134418607,3632.0,3719.560134418607
AMS/SIN/MEL/SIN/AMS,3,31242.71244799189,4801.666666666667,10414.237482663963
AMS/VCE/AMS,1,380.72890919465647,289.0,380.72890919465647
AMS/VCE/AMS/VIE,1,577.3727468429382,1067.0,577.3727468429382
AMS/VIE,1,196.6438376482818,174.0,196.6438376482818
AMS/WAW/KRK/WAW/AMS,1,553.2466961734851,116.0,553.2466961734851
AMS/ZRH,9,1115.4167261562202,230.77777777777777,123.93519179513558
APW/AKL/MEL,5,6218.554838242873,1185.0,1243.7109676485748
APW/BNE/MEL,4,5479.795093115553,1036.25,1369.9487732788882
APW/BNE/MEL/BNE/APW,1,2364.4612696965337,1598.0,2364.4612696965337
APW/NAN/MEL,1,0.0,329.0,0.0
APW/NAN/MEL/NAN/APW,2,7310.028769845409,1742.5,3655.0143849227047
APW/NAN/SUV,2,553.9076838630593,1008.5,276.95384193152967
ARM/BNE,1,115.26438405855528,266.56,115.26438405855528
ARM/SYD,1,116.74213257212651,174.12,116.74213257212651
ARM/SYD/ARM,1,157.31507011862544,450.01,157.31507011862544
ARM/SYD/CBR/MEL/SYD/ARM,1,443.8532335489789,1176.57,443.8532335489789
ARM/SYD/CBR/SYD/ARM,2,497.06274255969043,1018.46,248.53137127984522
ARM/SYD/DRW,3,723.1205323940177,180.53,241.04017746467255
ARM/SYD/DXB/ARN_CDG/DXB/SYD/ARM,1,7837.657484989795,2943.0,7837.657484989795
ARM/SYD/MEL/CBR,1,319.5875479090563,425.78,319.5875479090563
ARM/SYD/MEL/CFS,2,904.2311593373092,627.255,452.1155796686546
ARM/SYD/MEL/SYD/ARM,12,5354.000285549857,671.8158333333333,446.1666904624881
ARM/SYD/MEL/SYD/CFS,1,460.04743194354324,853.37,460.04743194354324
ARN/BKK/MEL,1,3513.0585460128677,832.0,3513.0585460128677
ARN/BKK/MEL/BKK/ARN,1,7026.1170920257355,2414.0,7026.1170920257355
ARN/BRU,1,262.4121127609004,666.0,262.4121127609004
ARN/CDG,1,317.2740909955471,278.0,317.2740909955471
ARN/CDG_FLR/CPH/LHR,1,1373.017118160769,924.0,1373.017118160769
ARN/CPH,1,109.72395646929338,184.0,109.72395646929338
ARN/CPH/ARN,2,219.4479129385867,48.5,109.72395646929336
ARN/DOH/MEL/DOH/ARN,1,21601.950035624395,8159.0,21601.950035624395
ARN/GVA,1,343.0526108889353,262.0,343.0526108889353
ARN/HEL/ARN,1,165.90791008308818,505.0,165.90791008308818
ARN/IST/AYT,1,551.9247207943371,244.0,551.9247207943371
ARN/LHR,4,1176.5580874418206,98.0,294.13952186045515
ARN/MAN,3,868.53782410031,73.33333333333333,289.51260803343666
ARN/OSL,2,239.39525919853796,3.0,119.69762959926898
ASP/ADL/ASP,3,1626.0297163521786,1136.0466666666669,542.0099054507263
ASP/ADL/CBR/MEL,1,566.7969438097534,355.59,566.7969438097534
ASP/ADL/MEL/ADL/ASP,2,1766.2937964511889,1114.375,883.1468982255944
ASP/ADL/MEL/ASP,3,2583.258924662334,938.1466666666666,861.0863082207779
ASP/ADL/MEL/SYD/ASP,1,1049.505445802897,749.02,1049.505445802897
ASP/ADL/PER,1,0.0,87.43,0.0
ASP/BNE/MEL,1,686.4357156226577,343.7,686.4357156226577
ASP/DRW,3,805.0830059012007,535.2433333333333,268.3610019670669
ASP/DRW/ASP,1,536.7220039341338,827.79,536.7220039341338
ASP/DRW/DIL/DRW/ASP,6,5468.133129062649,1736.3333333333333,911.3555215104415
ASP/DRW/DIL/DRW/SYD,1,0.0,316.73,0.0
ASP/MEL,3,1150.1185798588583,487.9866666666667,383.37285995295275
ASP/MEL/ASP,4,1678.0514364319235,440.1725,419.5128591079809
ASP/SYD,1,0.0,10.23,0.0
ASP/SYD/CBR/MEL/ASP,3,3074.7399380483225,953.6866666666666,1024.9133126827742
ASP/SYD/MEL/ASP,1,1027.4448557980809,643.0,1027.4448557980809
ASP/TCA/ASP,2,380.72890919465647,1583.63,190.36445459732823
ATH/BLQ,1,263.07310045047444,239.0,263.07310045047444
ATH/DBV/ATH,1,287.5296449647146,746.0,287.5296449647146
ATH/DOH/DPS,1,2434.9828279086514,749.0,2434.9828279086514
ATH/DOH/MEL,1,0.0,1.9,0.0
ATH/DXB/MEL,1,0.0,30.7,0.0
ATH/EWR,1,1784.7378962912808,754.0,1784.7378962912808
ATH/FCO/ATH,1,440.8787889458956,475.0,440.8787889458956
ATH/OSL,1,541.6794116059392,111.0,541.6794116059392
ATH/SIN/PER,1,2911.636231619271,982.0,2911.636231619271
ATH/SKG/ATH,1,122.9437102607745,286.0,122.9437102607745
ATL/BOS,1,312.9776710133157,547.0,312.9776710133157
ATL/DEN/SFO/MEL/LAX/ATL,1,0.0,0.0,0.0
ATL/DFW/BUR,1,647.7679357825754,419.0,647.7679357825754
ATL/EWR,1,249.85334665899333,219.0,249.85334665899333
ATL/IAH/SFO/MEL,1,10694.003520403046,13161.0,10694.003520403046
ATL/JFK,1,249.85334665899333,298.0,249.85334665899333
ATL/LAX/MEL,1,0.0,0.0,0.0
ATL/SFO/MEL_SFO/ATL_MEL/SFO,4,28931.921317791788,2606.0,7232.980329447947
AUH/BKK/AUH,1,2230.6511336017466,1118.0,2230.6511336017466
AUH/BKK/VTE/BKK/AUH,1,2455.5968218475778,1619.0,2455.5968218475778
AUH/CGK/YIA/CGK/AUH,1,3156.8342647875565,1447.0,3156.8342647875565
AUH/DOH/MEL_SYD/DOH/AUH,1,5609.176245486882,2223.0,5609.176245486882
AUH/MCT/AUH,1,173.83976235797684,89.0,173.83976235797684
AUS/CLT/DCA/MCI/CLT/BDL,1,1354.7372157056004,931.0,1354.7372157056004
AUS/IAD,1,430.6334797574977,476.0,430.6334797574977
AUS/IND/LAX,1,993.4498482496754,782.0,993.4498482496754
AUS/JFK,1,499.3761994731997,515.0,499.3761994731997
AUS/SFO/MEL,1,0.0,25.0,0.0
AUS/SFO/MEL/SFO/AUS,2,13543.032368858336,2252.5,6771.516184429168
AVV/BNE/AVV,2,1155.4064813754505,310.06,577.7032406877253
AVV/OOL/AVV,1,567.1274376545405,264.6,567.1274376545405
AVV/OOL/MEL,2,1113.764256932285,340.21000000000004,556.8821284661425
AVV/SYD,1,155.00161320511626,102.6,155.00161320511626
AVV/SYD/AUH/BRU_BER/BRU/AUH/MEL,1,7962.064746656302,2288.0,7962.064746656302
AVV/SYD/AVV,9,3100.013685312422,361.78555555555556,344.44596503471354
AVV/SYD/HND/SYD/MEL,1,3844.3290451015837,1751.0,3844.3290451015837
AVV/SYD/MEL,1,299.42742337704755,388.23,299.42742337704755
AVV/SYD/SCL/EZE/SCL/SYD/AVV,1,6172.625413150878,2731.0,6172.625413150878
AVV/SYD/YVR/YYC/YVR/BNE/MEL,1,10047.38401047693,3466.0,10047.38401047693
AYQ/BNE/MEL,1,282.90273113769615,688.62,282.90273113769615
AYQ/MEL,1,388.33026762475816,136.53,388.33026762475816
AYQ/SYD/MEL,1,584.3131175834659,480.06,584.3131175834659
AYT/IST/MXP,1,441.20928279068266,164.0,441.20928279068266
BBI/DEL,1,262.4121127609004,148.0,262.4121127609004
BBI/DEL/HKG,1,1129.0682294268245,394.0,1129.0682294268245
BCN/AMS/KEF,1,671.5634926072415,469.0,671.5634926072415
BCN/BRU/BCN,1,444.84471508333996,671.0,444.84471508333996
BCN/CDG/BCN,2,345.69656164723153,297.5,172.84828082361577
BCN/CDG/SLC/CDG/BCN,1,4054.085474655574,2026.0,4054.085474655574
BCN/CPH,1,363.212735420944,646.0,363.212735420944
BCN/DOH/MEL/DOH/BCN,1,7557.017848207215,2639.0,7557.017848207215
BCN/DXB/MEL,2,0.0,208.0,0.0
BCN/DXB/SYD/CBR,1,6267.97068733064,3759.0,6267.97068733064
BCN/IST/MAN,1,1107.0076394220082,414.0,1107.0076394220082
BCN/MRS,5,322.14917595852626,105.4,64.42983519170525
